,feature importance,biomolecule
413,0.000219881312350604,ALPK1
414,0.0,ALPK3
415,0.0,ALPL
416,0.0,ALS2
417,0.0,ALS2CL
418,0.0,ALX3
419,0.0,ALYREF
420,0.0005003126954346468,AMACR
421,0.0,AMBRA1
422,0.0,AMD1
423,0.0,AMDHD1
424,0.0,AMDHD2
425,0.0,AMER1
426,0.0,AMFR
427,0.0007709215761776408,AMIGO1
428,0.0,AMIGO2
429,0.0,AMIGO3
430,0.0,AMMECR1
431,0.0,AMMECR1L
432,0.0,AMN1
433,0.0014560511440772095,AMOT
434,0.0,AMOTL1
435,0.0,AMPD2
436,0.0,AMPD3
437,0.0,AMPH
438,0.0,AMT
439,0.0,AMY2B
440,0.0,AMZ2
441,0.0,ANAPC1
442,0.0,ANAPC10
443,0.0,ANAPC11
444,0.0,ANAPC13
445,0.0005841446132043498,ANAPC15
446,0.0,ANAPC16
447,0.0,ANAPC2
448,0.0,ANAPC4
449,0.0,ANAPC5
450,0.0,ANAPC7
451,0.0,ANG
452,0.0,ANGEL1
453,0.0,ANGEL2
454,0.0,ANGPT1
455,0.0,ANGPTL6
456,0.0,ANK1
457,0.0,ANK3
458,0.0,ANKAR
459,0.0,ANKDD1A
460,0.0,ANKDD1B
461,0.0,ANKEF1
462,0.0,ANKFY1
463,0.0,ANKH
464,0.0,ANKHD1
465,0.0,ANKHD1-EIF4EBP3
466,0.0,ANKIB1
467,0.0,ANKLE1
468,0.0,ANKLE2
469,0.0,ANKMY1
470,0.0,ANKMY2
471,0.0,ANKRA2
472,0.0,ANKRD10
473,0.0,ANKRD11
474,0.0,ANKRD12
475,0.0,ANKRD13A
476,0.0,ANKRD13B
477,0.0002450980392156862,ANKRD13C
478,0.0,ANKRD13D
479,0.0,ANKRD16
480,0.0,ANKRD17
481,0.0,ANKRD18A
482,0.0,ANKRD20A1
483,0.0005521890622632934,ANKRD22
484,0.0,ANKRD23
485,0.0,ANKRD24
486,0.0,ANKRD26
487,0.0,ANKRD27
488,0.0,ANKRD28
489,0.0,ANKRD33B
490,0.0,ANKRD34A
491,0.0,ANKRD34B
492,0.0,ANKRD35
493,8.192524321556571e-05,ANKRD36
494,0.0,ANKRD36B
495,0.0008480688692415077,ANKRD36C
496,0.0,ANKRD37
497,0.0,ANKRD39
498,0.0,ANKRD40
499,0.0,ANKRD42
500,0.0,ANKRD44
501,0.0,ANKRD46
502,0.0,ANKRD49
503,0.0,ANKRD50
504,0.0,ANKRD52
505,0.0,ANKRD54
506,0.0,ANKRD55
507,0.0,ANKRD6
508,0.0,ANKRD65
509,0.0,ANKRD9
510,0.0,ANKS1A
511,0.0,ANKS1B
512,0.0,ANKS3
513,0.0,ANKS4B
514,0.0,ANKS6
515,0.0,ANKZF1
516,0.0,ANLN
517,0.0,ANO10
518,0.0,ANO2
519,0.0,ANO5
520,0.0,ANO6
521,0.0,ANO8
522,0.0,ANO9
523,0.0,ANOS1
524,0.0,ANP32A
525,0.0,ANP32B
526,0.0,ANP32E
527,0.0,ANPEP
528,0.0,ANTKMT
529,0.0,ANTXR2
530,0.0,ANXA1
531,0.0,ANXA11
532,0.0,ANXA2
533,0.0,ANXA2R
534,0.0013872486322019364,ANXA3
535,0.0,ANXA4
536,0.0,ANXA5
537,0.0,ANXA6
538,0.0,ANXA7
539,0.0,ANXA8
540,0.0,ANXA8L1
541,0.0,ANXA9
542,0.0,AOAH
543,0.0,AOC1
544,0.0,AOC2
545,0.0,AOC3
546,0.0,AOPEP
547,0.0,AP1AR
548,0.0,AP1B1
549,0.0,AP1G1
550,0.0,AP1G2
551,0.0,AP1M1
552,0.0,AP1M2
553,0.0,AP1S1
554,0.0,AP1S2
555,0.0,AP1S3
556,0.0,AP2A1
557,0.0,AP2A2
558,0.0,AP2B1
559,0.0,AP2M1
560,0.0,AP2S1
561,0.0,AP3B1
562,0.0003696971564127053,AP3B2
563,0.0,AP3D1
564,0.0,AP3M1
565,0.0,AP3M2
566,0.001279234585400425,AP3S1
567,0.0,AP3S2
568,0.0,AP4B1
569,0.0,AP4E1
570,0.0,AP4M1
571,0.0,AP4S1
572,0.0014928351763397233,AP5B1
573,0.0,AP5M1
574,0.0,AP5S1
575,0.0011035845208646447,AP5Z1
576,0.0,APAF1
577,0.0,APBA2
578,0.0,APBA3
579,0.0,APBB1
580,0.0,APBB1IP
581,0.0,APBB2
582,0.0,APBB3
583,0.0,APC
584,0.0,APCDD1
585,0.00060882800608828,APEH
586,0.0,APEX1
587,0.0,APEX2
588,0.0,APH1A
589,0.0,APH1B
590,0.0,API5
591,0.0,APIP
592,0.0,APLF
593,0.0,APLP2
594,0.00012143782383419689,APMAP
595,0.0,APOBEC3A
596,0.0,APOBEC3A_B
597,0.0,APOBEC3B
598,0.0,APOBEC3C
599,0.0,APOBEC3D
600,0.0,APOBEC3F
601,0.0,APOBEC3G
602,0.0,APOBEC3H
603,0.0,APOBR
604,0.0,APOL1
605,0.00017949293246578415,APOL2
606,0.0,APOL3
607,0.0,APOL4
608,0.0,APOL6
609,0.00023148148148148146,APOLD1
610,0.0,APOM
611,0.0,APOO
612,0.0,APOOL
613,0.0,APP
614,0.0002485795454545456,APPBP2
615,0.0,APPL1
616,0.0,APPL2
617,0.0,APRT
618,0.0,APTX
619,0.000786493057497333,AQP1
620,0.0,AQP10
621,0.0,AQP3
622,0.0,AQP9
623,0.0018518756423432689,AQR
624,0.0,AR
625,0.0,ARAF
626,0.0,ARAP1
627,0.0,ARAP2
628,0.0,ARAP3
629,0.0,ARCN1
630,0.0,AREG
631,0.0,AREL1
632,0.00419222945396807,ARF1
633,0.0,ARF3
634,0.0,ARF4
635,0.0,ARF5
636,0.0,ARF6
637,0.0,ARFGAP1
638,0.0,ARFGAP2
639,0.0,ARFGAP3
640,0.0,ARFGEF1
641,0.0,ARFGEF2
642,0.0012090462053625747,ARFIP1
643,0.0,ARFIP2
644,0.0,ARFRP1
645,0.0018279912858226114,ARG1
